id,MLM,HLM,AlogP,Molecular_Weight,Num_H_Acceptors,Num_H_Donors,Num_RotatableBonds,LogD,Molecular_PolarSurfaceArea,FPs
TRAIN_0000,26.01,50.68,3.259,400.495,5,2,8,3.259,117.37,[0 0 0 ... 0 0 0]
TRAIN_0001,29.27,50.59,2.169,301.407,2,1,2,2.172,73.47,[0 0 0 ... 0 0 0]
TRAIN_0002,5.586,80.892,1.593,297.358,5,0,3,1.585,62.45,[0 0 0 ... 0 0 0]
TRAIN_0003,5.71,2.0,4.771,494.652,6,0,5,3.475,92.6,[0 0 1 ... 0 0 0]
TRAIN_0004,93.27,99.99,2.335,268.31,3,0,1,2.337,42.43,[0 0 0 ... 0 0 0]
TRAIN_0005,27.64,66.63,1.335,419.422,4,1,7,1.335,78.95,[0 0 0 ... 0 0 0]
TRAIN_0006,82.107,69.25,1.954,547.707,7,4,9,0.464,144.42,[0 0 0 ... 0 0 0]
TRAIN_0007,2.673,25.121,2.967,293.343,3,0,2,2.967,68.18,[0 0 0 ... 0 0 0]
TRAIN_0008,74.519,71.471,-0.946,347.366,7,2,3,-0.723,104.89,[0 0 0 ... 0 0 0]
TRAIN_0009,73.417,76.291,1.259,357.453,5,2,5,-0.373,90.04,[0 0 0 ... 0 0 0]
TRAIN_0010,56.9,40.158,0.767,294.821,3,1,3,0.388,86.03,[0 0 0 ... 0 0 0]
TRAIN_0011,32.668,94.151,0.814,269.406,4,1,4,-0.591,67.84,[0 0 0 ... 0 0 0]
TRAIN_0012,0.761,4.273,4.157,339.822,2,1,2,4.157,58.28,[0 1 0 ... 0 0 0]
TRAIN_0013,66.24,63.68,2.719,255.376,2,1,6,2.721,54.55,[0 0 0 ... 0 0 0]
TRAIN_0014,69.28,99.0,5.541,392.249,3,1,3,5.539,50.94,[0 0 0 ... 0 0 0]
TRAIN_0015,48.42,82.81,3.959,457.528,6,3,7,3.95,98.15,[0 0 0 ... 0 0 0]
TRAIN_0016,59.496,66.631,-1.524,289.308,5,3,4,-1.424,121.98,[0 0 0 ... 0 0 0]
TRAIN_0017,1.776,5.529,4.143,445.596,3,1,8,3.318,48.57,[0 0 0 ... 0 0 0]
TRAIN_0018,65.85,91.84,2.762,296.317,4,2,4,-0.125,74.6,[0 0 0 ... 0 0 0]
TRAIN_0019,13.856,42.906,2.791,292.335,4,2,4,3.045,81.83,[0 0 0 ... 0 0 0]
TRAIN_0020,99.0,83.03,5.295,519.675,3,2,4,5.295,76.02,[0 0 0 ... 0 0 0]
TRAIN_0021,33.778,51.664,2.865,296.302,4,1,3,2.865,92.89,[0 0 0 ... 0 0 0]
TRAIN_0022,99.9,99.9,1.907,377.236,3,1,2,1.907,69.3,[0 0 0 ... 0 0 0]
TRAIN_0023,0.0,0.0,5.491,606.4,4,1,11,5.491,84.09,[0 0 0 ... 0 0 0]
TRAIN_0024,3.39,1.36,1.854,469.533,6,0,6,1.854,120.52,[0 0 0 ... 0 1 0]
TRAIN_0025,0.17,0.07,4.034,316.464,2,2,5,4.053,91.54,[0 0 0 ... 0 0 0]
TRAIN_0026,0.09,21.6,4.343,434.981,5,1,6,4.343,138.19,[0 0 0 ... 0 0 0]
TRAIN_0027,73.73,99.0,2.021,290.268,6,5,1,2.01,110.38,[0 0 0 ... 0 0 0]
TRAIN_0028,3.855,54.218,4.038,380.588,3,0,7,2.478,49.0,[0 0 0 ... 0 0 0]
TRAIN_0029,94.6,99.0,1.375,308.379,4,2,6,-0.111,82.5,[0 0 0 ... 0 0 0]
TRAIN_0030,1.814,4.124,3.345,341.363,3,0,2,3.345,59.23,[0 0 0 ... 1 0 0]
TRAIN_0031,94.33,99.0,1.027,337.42,5,1,5,1.009,125.87,[0 0 0 ... 0 0 0]
TRAIN_0032,55.941,78.013,3.703,353.392,5,0,2,3.703,78.05,[0 0 0 ... 0 0 0]
TRAIN_0033,7.74,13.78,1.879,388.525,4,1,8,1.937,128.54,[0 0 0 ... 0 0 0]
TRAIN_0034,54.9,58.7,3.978,308.667,3,1,2,3.827,59.15,[0 0 0 ... 0 0 0]
TRAIN_0035,81.57,99.0,2.237,379.881,3,3,3,2.237,81.67,[0 1 1 ... 0 0 0]
TRAIN_0036,81.95,82.29,-0.488,344.411,5,2,3,-1.031,105.61,[0 0 0 ... 0 0 0]
TRAIN_0037,32.111,24.242,0.631,306.34,4,3,2,0.622,122.27,[0 0 0 ... 0 0 0]
TRAIN_0038,51.993,54.414,2.483,380.44,4,0,7,2.483,65.45,[0 0 0 ... 0 0 0]
TRAIN_0039,0.62,1.3,6.433,433.609,1,1,3,6.433,65.5,[0 0 0 ... 0 0 0]
TRAIN_0040,1.46,32.55,3.099,447.333,5,1,8,3.099,93.32,[0 0 0 ... 0 0 0]
TRAIN_0041,10.295,37.138,1.034,308.195,3,1,4,1.034,84.67,[0 0 0 ... 0 0 0]
TRAIN_0042,90.61,67.631,2.131,266.727,2,2,4,2.13,56.73,[0 0 0 ... 0 0 0]
TRAIN_0043,26.23,92.78,1.885,290.341,4,1,2,1.885,84.72,[0 0 0 ... 0 0 0]
TRAIN_0044,0.38,5.48,2.723,350.371,5,1,6,2.723,86.11,[0 0 0 ... 0 0 0]
TRAIN_0045,30.439,23.795,2.867,531.82,2,1,3,2.867,43.26,[0 0 0 ... 0 0 0]
TRAIN_0046,77.245,39.943,3.357,382.232,5,2,4,1.943,112.58,[0 0 0 ... 0 0 0]
TRAIN_0047,0.08,1.34,3.187,316.357,3,1,3,3.187,58.12,[0 0 0 ... 0 0 0]
TRAIN_0048,73.91,76.87,1.181,379.412,6,0,4,1.181,91.58,[0 0 0 ... 0 0 0]
TRAIN_0049,0.44,38.97,3.084,372.42,4,1,4,3.193,65.1,[0 0 0 ... 0 0 0]
TRAIN_0050,0.2,1.16,3.044,279.336,3,0,2,3.044,47.26,[0 0 0 ... 0 0 0]
TRAIN_0051,24.971,7.63,2.603,314.198,2,0,2,2.603,45.76,[0 0 0 ... 0 0 0]
TRAIN_0052,2.41,0.12,2.254,271.311,3,1,6,2.254,47.56,[0 0 0 ... 0 0 0]
