num_date_time,answer
1_20220825 00,1882.81103515625
1_20220825 01,2166.350341796875
1_20220825 02,2106.451904296875
1_20220825 03,2057.696533203125
1_20220825 04,2158.322998046875
1_20220825 05,2134.349365234375
1_20220825 06,2198.00439453125
1_20220825 07,2402.052734375
1_20220825 08,2999.3046875
1_20220825 09,3491.766845703125
1_20220825 10,3748.5
1_20220825 11,4170.06103515625
1_20220825 12,4343.43603515625
1_20220825 13,4496.4130859375
1_20220825 14,4359.61572265625
1_20220825 15,4210.40185546875
1_20220825 16,4360.74853515625
1_20220825 17,4480.27880859375
1_20220825 18,3947.372314453125
1_20220825 19,3388.273193359375
1_20220825 20,2886.140625
1_20220825 21,2676.4638671875
1_20220825 22,2289.51953125
1_20220825 23,2087.965576171875
1_20220826 00,2112.606201171875
1_20220826 01,1895.525390625
1_20220826 02,1824.72265625
1_20220826 03,1847.9630126953125
1_20220826 04,1828.6600341796875
1_20220826 05,2018.1026611328125
1_20220826 06,2159.567626953125
1_20220826 07,2417.700927734375
1_20220826 08,3098.7705078125
1_20220826 09,3371.809814453125
1_20220826 10,3890.264892578125
1_20220826 11,4196.02978515625
1_20220826 12,4010.146728515625
1_20220826 13,4199.53369140625
1_20220826 14,4345.61474609375
1_20220826 15,4440.73486328125
1_20220826 16,4408.98046875
1_20220826 17,4062.792236328125
1_20220826 18,3723.358642578125
1_20220826 19,3316.884521484375
1_20220826 20,2614.1923828125
1_20220826 21,2478.444091796875
1_20220826 22,2268.273681640625
1_20220826 23,2100.46142578125
1_20220827 00,1587.1224365234375
1_20220827 01,1542.7994384765625
1_20220827 02,1679.7310791015625
1_20220827 03,1534.89990234375
1_20220827 04,1745.6324462890625
1_20220827 05,1772.8072509765625
1_20220827 06,1839.4449462890625
1_20220827 07,1986.1861572265625
1_20220827 08,2203.642333984375
1_20220827 09,2515.132568359375
1_20220827 10,3150.286865234375
1_20220827 11,3576.542724609375
1_20220827 12,3641.669677734375
1_20220827 13,3437.978271484375
1_20220827 14,3448.330810546875
1_20220827 15,3482.748046875
1_20220827 16,3482.794189453125
1_20220827 17,3394.407958984375
1_20220827 18,2729.451416015625
1_20220827 19,2493.3896484375
1_20220827 20,1996.7113037109375
1_20220827 21,2076.695068359375
1_20220827 22,1755.9078369140625
1_20220827 23,1849.4869384765625
1_20220828 00,1778.5029296875
1_20220828 01,1762.46533203125
1_20220828 02,1688.4644775390625
1_20220828 03,1772.0943603515625
1_20220828 04,1869.1126708984375
1_20220828 05,1780.80859375
1_20220828 06,1880.8812255859375
1_20220828 07,1849.3560791015625
1_20220828 08,2188.880859375
1_20220828 09,2522.6318359375
1_20220828 10,2785.314208984375
1_20220828 11,3046.9267578125
1_20220828 12,3064.093017578125
1_20220828 13,3111.093017578125
1_20220828 14,3161.618896484375
1_20220828 15,3277.324951171875
1_20220828 16,3329.927734375
1_20220828 17,3023.522705078125
1_20220828 18,2423.615966796875
1_20220828 19,2079.962158203125
1_20220828 20,1937.6387939453125
1_20220828 21,1771.98388671875
1_20220828 22,1859.8089599609375
1_20220828 23,1893.0699462890625
1_20220829 00,2042.2357177734375
1_20220829 01,1950.7335205078125
1_20220829 02,1859.091796875
1_20220829 03,2020.0479736328125
1_20220829 04,2006.0035400390625
1_20220829 05,2083.03515625
1_20220829 06,2067.17578125
1_20220829 07,2521.563720703125
1_20220829 08,2933.150390625
1_20220829 09,3261.395751953125
1_20220829 10,3512.943603515625
1_20220829 11,3824.5
1_20220829 12,4112.88525390625
1_20220829 13,4020.288330078125
1_20220829 14,4106.9365234375
1_20220829 15,4364.91259765625
1_20220829 16,4341.62255859375
1_20220829 17,3693.501220703125
1_20220829 18,3525.2158203125
1_20220829 19,3192.93359375
1_20220829 20,2748.582275390625
1_20220829 21,2494.34912109375
1_20220829 22,2333.072021484375
1_20220829 23,2234.6728515625
1_20220830 00,2076.970458984375
1_20220830 01,1928.9259033203125
1_20220830 02,1855.7379150390625
1_20220830 03,1736.1021728515625
1_20220830 04,1879.5882568359375
1_20220830 05,2100.3759765625
1_20220830 06,2180.529541015625
1_20220830 07,2426.182373046875
1_20220830 08,2861.055419921875
1_20220830 09,3086.779296875
1_20220830 10,3539.251953125
1_20220830 11,3786.94921875
1_20220830 12,3896.673828125
1_20220830 13,3995.924560546875
1_20220830 14,3981.196533203125
1_20220830 15,4007.692138671875
1_20220830 16,3994.306640625
1_20220830 17,3702.355712890625
1_20220830 18,3396.606201171875
1_20220830 19,3102.462646484375
1_20220830 20,2744.72265625
1_20220830 21,2300.575927734375
1_20220830 22,2082.8076171875
1_20220830 23,1873.0025634765625
1_20220831 00,1832.35595703125
1_20220831 01,1775.1790771484375
1_20220831 02,1797.3861083984375
1_20220831 03,1852.31884765625
1_20220831 04,1835.6253662109375
1_20220831 05,1899.8199462890625
1_20220831 06,2064.356201171875
1_20220831 07,2485.962158203125
1_20220831 08,2857.1484375
1_20220831 09,3260.9052734375
1_20220831 10,3662.673095703125
1_20220831 11,4334.5615234375
1_20220831 12,4389.36474609375
1_20220831 13,4319.29931640625
1_20220831 14,4445.970703125
1_20220831 15,4276.31298828125
1_20220831 16,4300.70703125
1_20220831 17,4463.8564453125
1_20220831 18,3467.064697265625
1_20220831 19,3309.353515625
1_20220831 20,2906.318359375
1_20220831 21,2465.874755859375
1_20220831 22,2261.426513671875
1_20220831 23,1974.42626953125
2_20220825 00,1263.298583984375
2_20220825 01,1315.57958984375
2_20220825 02,1280.7779541015625
2_20220825 03,1311.3109130859375
2_20220825 04,1310.0081787109375
2_20220825 05,1300.806884765625
2_20220825 06,1246.806640625
2_20220825 07,1236.5047607421875
2_20220825 08,1737.33740234375
2_20220825 09,1905.9996337890625
2_20220825 10,2326.260986328125
2_20220825 11,2186.750244140625
2_20220825 12,2307.564697265625
2_20220825 13,2266.71875
2_20220825 14,2235.080810546875
2_20220825 15,2110.935302734375
2_20220825 16,2132.5966796875
2_20220825 17,2114.577880859375
2_20220825 18,2202.04443359375
2_20220825 19,1998.0201416015625
2_20220825 20,1724.86328125
2_20220825 21,1285.6541748046875
2_20220825 22,1179.06396484375
2_20220825 23,1308.3231201171875
2_20220826 00,1292.6868896484375
2_20220826 01,1287.8690185546875
2_20220826 02,1286.6300048828125
2_20220826 03,1279.3399658203125
2_20220826 04,1310.3946533203125
2_20220826 05,1296.7095947265625
2_20220826 06,1123.558349609375
2_20220826 07,1222.0633544921875
2_20220826 08,1866.1397705078125
2_20220826 09,1997.5911865234375
2_20220826 10,2175.472900390625
2_20220826 11,2326.950439453125
2_20220826 12,2158.0263671875
2_20220826 13,2057.9521484375
2_20220826 14,2066.251220703125
2_20220826 15,2277.135009765625
2_20220826 16,2173.684326171875
2_20220826 17,2031.5240478515625
2_20220826 18,2218.8564453125
2_20220826 19,2033.04296875
2_20220826 20,1680.5733642578125
2_20220826 21,1307.6214599609375
2_20220826 22,1280.6448974609375
2_20220826 23,1262.3485107421875
2_20220827 00,1266.13525390625
2_20220827 01,1238.8807373046875
2_20220827 02,1311.76123046875
2_20220827 03,1266.33447265625
2_20220827 04,1306.0269775390625
2_20220827 05,1214.9049072265625
2_20220827 06,1098.9063720703125
2_20220827 07,1132.1768798828125
2_20220827 08,1644.5771484375
2_20220827 09,1824.4791259765625
2_20220827 10,2074.702392578125
2_20220827 11,2099.751708984375
2_20220827 12,2240.009033203125
2_20220827 13,2246.675048828125
2_20220827 14,2254.102294921875
2_20220827 15,2228.245849609375
2_20220827 16,2200.503173828125
2_20220827 17,2086.074462890625
2_20220827 18,2021.681640625
2_20220827 19,1788.97216796875
2_20220827 20,1767.5687255859375
2_20220827 21,1205.225341796875
2_20220827 22,1000.792236328125
2_20220827 23,1298.3388671875
2_20220828 00,1202.14306640625
2_20220828 01,1199.6341552734375
2_20220828 02,1291.4244384765625
2_20220828 03,1176.9207763671875
2_20220828 04,1176.63623046875
2_20220828 05,950.037841796875
2_20220828 06,940.6140747070312
2_20220828 07,1043.615234375
2_20220828 08,1618.3287353515625
2_20220828 09,1837.4189453125
2_20220828 10,2131.800048828125
2_20220828 11,2045.8173828125
2_20220828 12,2128.977783203125
2_20220828 13,2112.658935546875
2_20220828 14,2143.17626953125
2_20220828 15,2162.778564453125
2_20220828 16,2233.500244140625
2_20220828 17,2083.54736328125
2_20220828 18,1949.2060546875
2_20220828 19,1778.8016357421875
2_20220828 20,1658.400390625
2_20220828 21,1280.88525390625
2_20220828 22,1010.1071166992188
2_20220828 23,1252.431640625
2_20220829 00,1230.3826904296875
2_20220829 01,1265.7164306640625
2_20220829 02,1249.00634765625
2_20220829 03,1260.1578369140625
2_20220829 04,1275.4376220703125
2_20220829 05,1276.11083984375
2_20220829 06,1067.8153076171875
2_20220829 07,1232.2593994140625
2_20220829 08,1758.7794189453125
2_20220829 09,1890.3016357421875
2_20220829 10,2171.784423828125
2_20220829 11,2180.6064453125
2_20220829 12,2227.9189453125
2_20220829 13,2181.9716796875
2_20220829 14,2200.208740234375
2_20220829 15,2156.08056640625
2_20220829 16,2268.871337890625
2_20220829 17,2126.66455078125
2_20220829 18,2110.174560546875
2_20220829 19,1905.46484375
2_20220829 20,1700.9263916015625
2_20220829 21,1305.92236328125
2_20220829 22,1249.1488037109375
2_20220829 23,1409.6744384765625
2_20220830 00,1347.0394287109375
2_20220830 01,1295.2515869140625
2_20220830 02,1270.2171630859375
2_20220830 03,1276.1370849609375
2_20220830 04,1254.0152587890625
2_20220830 05,1144.5267333984375
2_20220830 06,1138.22216796875
2_20220830 07,1212.2403564453125
2_20220830 08,1722.76220703125
2_20220830 09,2072.541015625
2_20220830 10,2255.35400390625
2_20220830 11,2315.423583984375
2_20220830 12,2233.72021484375
2_20220830 13,2469.465576171875
2_20220830 14,2405.193359375
2_20220830 15,2309.8857421875
2_20220830 16,2273.62939453125
2_20220830 17,2270.216064453125
2_20220830 18,2315.004638671875
2_20220830 19,2016.2119140625
2_20220830 20,1851.8472900390625
2_20220830 21,1245.0733642578125
2_20220830 22,1256.6932373046875
2_20220830 23,1269.3865966796875
2_20220831 00,1263.734130859375
2_20220831 01,1249.65234375
2_20220831 02,1265.99169921875
2_20220831 03,1277.7205810546875
2_20220831 04,1260.4847412109375
2_20220831 05,1276.4398193359375
2_20220831 06,1207.9991455078125
