n_estimators,eta,min_child_weight,max_depth,subsample,colsample_bytree
100,0.1,1,9,0.5,1.0
100,0.1,1,9,0.8,1.0
100,0.1,7,9,0.5,1.0
100,0.1,3,3,0.5,0.9
100,0.1,3,9,1.0,1.0
100,0.1,5,9,0.8,0.9
100,0.1,1,5,0.5,0.8
100,0.1,1,9,0.8,0.8
100,0.1,3,3,0.5,1.0
100,0.1,1,7,1.0,0.8
100,0.1,1,7,1.0,0.9
100,0.1,3,3,0.5,0.9
100,0.1,1,3,0.5,1.0
100,0.1,1,3,0.5,0.9
100,0.1,7,5,0.5,0.9
100,0.1,1,9,0.8,1.0
100,0.1,7,9,1.0,1.0
100,0.1,1,9,0.8,0.9
100,0.1,1,9,1.0,1.0
100,0.1,1,9,0.8,1.0
100,0.1,1,9,0.8,0.9
100,0.1,1,9,1.0,1.0
100,0.1,1,9,1.0,0.9
100,0.1,1,9,0.8,0.9
100,0.1,3,9,1.0,1.0
100,0.1,1,7,1.0,0.9
100,0.1,7,5,0.5,1.0
100,0.1,5,3,0.8,1.0
100,0.1,1,9,0.8,1.0
100,0.1,5,7,0.8,1.0
100,0.1,5,7,1.0,0.9
100,0.1,5,5,0.8,1.0
100,0.1,1,9,0.5,0.8
100,0.1,1,3,0.8,1.0
100,0.1,1,9,0.8,1.0
100,0.1,1,5,0.8,1.0
100,0.1,3,5,0.8,0.9
100,0.1,5,3,0.5,1.0
100,0.1,7,5,0.5,1.0
100,0.1,5,5,0.8,0.9
100,0.1,3,3,0.8,1.0
100,0.1,1,9,0.8,1.0
100,0.1,5,3,0.8,0.9
100,0.1,3,9,0.8,1.0
100,0.1,5,3,0.5,0.9
100,0.1,1,7,1.0,0.9
100,0.1,1,9,0.5,0.9
100,0.1,3,5,0.8,0.9
100,0.1,5,5,0.5,0.9
100,0.1,3,5,1.0,1.0
100,0.1,1,9,1.0,0.9
100,0.1,7,9,1.0,0.9
100,0.1,7,9,1.0,1.0
100,0.1,1,3,0.5,1.0
100,0.1,5,9,0.8,0.9
100,0.1,1,5,0.5,0.8
100,0.1,7,7,0.8,0.9
100,0.1,3,9,0.8,0.9
100,0.1,1,9,0.8,1.0
100,0.1,1,9,1.0,0.9
100,0.1,1,5,0.5,0.9
100,0.1,7,7,0.5,0.9
100,0.1,3,3,0.5,0.9
100,0.1,7,3,0.5,0.9
100,0.1,7,3,0.8,0.9
100,0.1,1,5,0.8,0.9
100,0.1,7,3,0.5,0.9
100,0.1,1,7,0.8,0.9
100,0.1,1,9,0.8,0.9
100,0.1,1,9,0.8,0.9
100,0.1,1,9,1.0,0.9
100,0.1,1,5,0.8,1.0
100,0.1,7,3,0.5,1.0
100,0.1,1,9,1.0,1.0
100,0.1,1,3,0.5,1.0
100,0.1,3,3,1.0,0.8
100,0.1,1,9,0.8,1.0
100,0.1,1,9,0.8,1.0
100,0.1,1,9,0.5,0.9
100,0.1,1,9,1.0,1.0
100,0.1,1,9,0.8,1.0
100,0.1,1,7,0.5,0.9
100,0.1,1,7,1.0,1.0
100,0.1,3,5,1.0,0.9
100,0.1,5,5,1.0,0.9
100,0.1,3,3,1.0,0.9
100,0.1,5,3,1.0,0.9
100,0.1,7,7,1.0,0.9
100,0.1,7,5,0.8,0.9
100,0.1,7,5,0.8,0.8
100,0.1,1,9,0.8,1.0
100,0.1,7,5,1.0,1.0
100,0.1,1,3,1.0,0.9
100,0.1,5,3,0.5,0.9
100,0.1,7,3,0.5,0.9
100,0.1,7,3,0.5,0.9
100,0.1,1,9,0.8,0.9
100,0.1,7,3,0.8,0.9
100,0.1,1,5,0.5,0.9
100,0.1,7,3,0.5,0.8
